City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ribeira grande,38.5167,-28.7,21.22,78,20,4.12,PT,1685637018
84,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,100,75,3.0,RU,1685636769
85,rio grande,-32.035,-52.0986,25.06,70,14,2.27,BR,1685636845
86,piti village,13.4626,144.6933,26.49,90,100,3.09,GU,1685637018
87,hasaki,35.7333,140.8333,21.23,92,100,5.58,JP,1685637018
88,puerto natales,-51.7236,-72.4875,2.25,80,75,1.03,CL,1685637018
89,pisco,-13.7,-76.2167,22.03,68,75,3.09,PE,1685636916
90,howrah,22.5892,88.3103,33.0,79,20,5.14,IN,1685637018
91,kataba,13.9833,44.3833,19.64,67,91,1.73,YE,1685637018
92,kaimganj,27.5667,79.35,32.82,24,0,2.72,IN,1685637018
93,karasuk,53.7377,78.0403,19.8,33,5,3.48,RU,1685637018
94,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1685637019
95,carbondale,37.7273,-89.2168,31.14,58,0,2.57,US,1685637019
96,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1685637019
97,cabo san lucas,22.8909,-109.9124,30.9,49,0,4.12,MX,1685637019
98,acarau,-2.8856,-40.12,29.31,69,19,4.88,BR,1685637019
99,fale old settlement,-9.3852,-171.2468,28.54,76,17,4.72,TK,1685637019
100,ciudad insurgentes,25.2625,-111.7753,22.56,41,25,6.69,MX,1685637019
101,nuuk,64.1835,-51.7216,1.34,100,100,20.06,GL,1685637019
102,kavaratti,10.5669,72.642,29.82,69,100,3.51,IN,1685637019
103,leava,-14.3,-178.1667,28.15,78,73,8.72,WF,1685637019
104,quellon,-43.1167,-73.6167,11.14,87,75,7.2,CL,1685637020
105,kudahuvadhoo,2.6708,72.8944,28.39,75,100,7.82,MV,1685637020
106,kruisfontein,-34.0033,24.7314,14.7,89,42,2.66,ZA,1685637020
107,marsabit,2.3284,37.9899,22.46,48,21,6.55,KE,1685637020
108,opuwo,-18.0607,13.84,21.53,23,0,3.19,NA,1685637020
109,conduaga,8.862,117.4893,27.17,85,91,2.47,PH,1685637020
110,uturoa,-16.7333,-151.4333,24.34,63,68,4.32,PF,1685637021
111,belle fourche,44.6714,-103.8522,25.75,50,98,5.8,US,1685637021
112,taulaga,-11.0553,-171.0883,28.48,77,14,6.73,AS,1685637021
113,yigo village,13.5361,144.8886,25.62,88,100,3.09,GU,1685637021
114,aykhal,66.0,111.5,6.89,50,0,2.01,RU,1685637021
115,micheweni,-4.9667,39.8333,25.28,81,2,4.71,TZ,1685637021
116,finote selam,10.7,37.2667,18.95,74,84,0.72,ET,1685637021
117,pacific grove,36.6177,-121.9166,13.57,80,100,3.6,US,1685637021
118,praia,14.9215,-23.5087,28.3,39,0,7.72,CV,1685637021
119,hamilton,39.1834,-84.5333,30.42,49,0,5.14,US,1685636987
120,fort morgan,40.2503,-103.8,18.36,82,40,3.93,US,1685637021
121,kingscliff,-28.2667,153.5667,11.89,94,19,0.51,AU,1685637022
122,suva,-18.1416,178.4415,25.71,89,75,2.06,FJ,1685637022
123,scarborough,54.2797,-0.4044,12.1,82,97,2.68,GB,1685636997
124,nyurba,63.2842,118.3319,6.05,57,0,1.06,RU,1685637022
125,wailua homesteads,22.0669,-159.378,23.44,90,75,4.63,US,1685637022
126,pushchino,54.8339,37.6264,15.48,73,4,3.43,RU,1685637022
127,strelka,58.0728,93.0344,14.3,55,83,1.26,RU,1685637022
128,copalnic manastur,47.5,23.6833,25.12,72,9,1.14,RO,1685637022
129,namtsy,62.7161,129.6658,9.09,80,97,2.74,RU,1685637022
130,kavieng,-2.5744,150.7967,28.07,81,100,5.99,PG,1685637023
131,bandar,2.05,99.75,23.98,98,92,1.3,ID,1685637023
132,vila velha,-20.3297,-40.2925,28.97,69,20,3.09,BR,1685636966
133,palpala,-24.2565,-65.2116,19.57,56,40,5.14,AR,1685637023
134,talnakh,69.4865,88.3972,4.56,98,100,4.36,RU,1685637023
135,garachico,28.7781,-17.7646,24.06,53,20,4.63,ES,1685637023
136,paoua,7.2427,16.4406,29.24,51,78,1.65,CF,1685637023
137,anadyr,64.75,177.4833,0.28,93,0,2.0,RU,1685637001
138,kuanda,56.3161,116.0806,8.64,58,51,0.2,RU,1685637023
139,shakawe,-18.3667,21.85,22.93,25,5,2.36,BW,1685637024
140,vorkuta,67.5,64.0,12.42,83,97,1.93,RU,1685637024
141,tazovsky,67.4667,78.7,12.2,94,98,5.53,RU,1685637024
142,punta arenas,-53.15,-70.9167,6.01,65,0,6.17,CL,1685637024
143,murun-kuren,49.6342,100.1625,9.2,77,100,2.06,MN,1685637024
144,markovo,57.3206,107.0881,8.88,85,60,1.14,RU,1685637024
145,port lincoln,-34.7333,135.8667,15.27,92,95,5.82,AU,1685637024
146,kamogawa,35.1,140.1,19.75,97,100,4.29,JP,1685637024
147,isafjordur,66.0755,-23.124,15.02,67,75,9.26,IS,1685637024
148,st. john's,47.5649,-52.7093,14.6,85,100,3.6,CA,1685637024
149,kodiak,57.79,-152.4072,7.73,76,0,0.0,US,1685637024
150,kapoeta,4.7717,33.5903,29.94,36,16,3.79,SS,1685637025
151,marijampole,54.5667,23.35,17.34,72,90,2.33,LT,1685636529
152,mount pearl,47.5166,-52.7813,14.14,85,100,3.6,CA,1685637025
153,fortuna,40.5982,-124.1573,13.29,85,100,3.09,US,1685637025
154,lobujya,27.95,86.8167,-7.46,65,57,0.72,NP,1685637025
155,kerikeri,-35.2268,173.9474,14.55,91,100,3.56,NZ,1685637025
156,mujiayingzi,42.1167,118.7833,13.14,68,76,2.05,CN,1685637025
